案件,縣市,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
c07,全國,,7955753,2109157,10064910,715140,10780050,19757067
c07,南投縣,,187162,41641,228803,15881,244684,427089
c07,南投縣,中寮鄉,5701,1272,6973,633,7606,13181
c07,南投縣,仁愛鄉,5087,1090,6177,467,6644,12589
c07,南投縣,信義鄉,5246,1259,6505,961,7466,13299
c07,南投縣,南投市,39753,8588,48341,2677,51018,84328
c07,南投縣,名間鄉,14946,3387,18333,1622,19955,33408
c07,南投縣,國姓鄉,7165,1490,8655,629,9284,16597
c07,南投縣,埔里鎮,30711,6093,36804,2423,39227,68763
c07,南投縣,水里鄉,6511,1422,7933,589,8522,15458
c07,南投縣,竹山鎮,18659,5202,23861,1821,25682,47034
c07,南投縣,草屯鎮,37026,8133,45159,2518,47677,82922
c07,南投縣,集集鎮,4068,1045,5113,418,5531,9611
c07,南投縣,魚池鄉,5746,1277,7023,536,7559,13958
c07,南投縣,鹿谷鄉,6543,1383,7926,587,8513,15941
c07,嘉義市,,86276,24205,110481,7639,118120,221553
c07,嘉義市,東區,39258,11159,50417,3338,53755,100647
c07,嘉義市,西區,47018,13046,60064,4301,64365,120906
c07,嘉義縣,,155084,42921,198005,21707,219712,442775
c07,嘉義縣,中埔鄉,12785,3594,16379,1538,17917,39139
c07,嘉義縣,六腳鄉,5958,1540,7498,959,8457,20821
c07,嘉義縣,大埔鄉,1555,392,1947,167,2114,3999
c07,嘉義縣,大林鎮,9837,2605,12442,1126,13568,26922
c07,嘉義縣,太保市,11773,3217,14990,1411,16401,31568
c07,嘉義縣,布袋鎮,7992,2087,10079,1337,11416,23965
c07,嘉義縣,新港鄉,9871,2914,12785,1636,14421,27342
c07,嘉義縣,朴子市,12753,3455,16208,1714,17922,35191
c07,嘉義縣,東石鄉,5735,1576,7311,1164,8475,21915
c07,嘉義縣,梅山鄉,6588,1785,8373,882,9255,17083
c07,嘉義縣,民雄鄉,22895,6700,29595,2904,32499,61209
c07,嘉義縣,水上鄉,16150,4702,20852,2000,22852,43857
c07,嘉義縣,溪口鄉,4446,1304,5750,716,6466,13105
c07,嘉義縣,番路鄉,4089,968,5057,508,5565,10156
c07,嘉義縣,竹崎鄉,11147,3039,14186,1393,15579,31228
c07,嘉義縣,義竹鄉,5818,1526,7344,901,8245,16647
c07,嘉義縣,阿里山鄉,1295,297,1592,447,2039,4691
c07,嘉義縣,鹿草鄉,4397,1220,5617,904,6521,13937
c07,基隆市,,121863,31714,153577,9450,163027,320030
c07,基隆市,七堵區,17808,4870,22678,1506,24184,46256
c07,基隆市,中山區,15400,4324,19724,1228,20952,41856
c07,基隆市,中正區,15640,4183,19823,1380,21203,45545
c07,基隆市,仁愛區,14062,3933,17995,1508,19503,36738
c07,基隆市,信義區,18410,4250,22660,1142,23802,46014
c07,基隆市,安樂區,27453,6944,34397,1844,36241,70396
c07,基隆市,暖暖區,13090,3210,16300,842,17142,33225
c07,宜蘭縣,,153113,42257,195370,16537,211907,386089
c07,宜蘭縣,三星鄉,6988,2021,9009,924,9933,19051
c07,宜蘭縣,五結鄉,13493,3720,17213,1321,18534,34892
c07,宜蘭縣,冬山鄉,17752,4886,22638,1528,24166,45405
c07,宜蘭縣,南澳鄉,2007,429,2436,203,2639,4644
c07,宜蘭縣,員山鄉,10584,2958,13542,1477,15019,28131
c07,宜蘭縣,壯圍鄉,8549,2410,10959,1263,12222,21447
c07,宜蘭縣,大同鄉,1644,443,2087,240,2327,4935
c07,宜蘭縣,宜蘭市,32624,8812,41436,3035,44471,79167
c07,宜蘭縣,礁溪鄉,11862,3428,15290,1265,16555,31084
c07,宜蘭縣,羅東鎮,24091,6724,30815,2259,33074,57686
c07,宜蘭縣,蘇澳鎮,13719,3778,17497,1713,19210,34512
c07,宜蘭縣,頭城鎮,9800,2648,12448,1309,13757,25135
c07,屏東縣,,259443,70573,330016,33128,363144,711720
c07,屏東縣,三地門鄉,2295,606,2901,279,3180,6373
c07,屏東縣,九如鄉,7108,1976,9084,1227,10311,19132
c07,屏東縣,佳冬鄉,5700,1644,7344,1050,8394,17063
c07,屏東縣,來義鄉,2655,554,3209,362,3571,6257
c07,屏東縣,內埔鄉,15808,4258,20066,1854,21920,47558
c07,屏東縣,南州鄉,3479,966,4445,493,4938,9479
c07,屏東縣,屏東市,66120,17114,83234,5603,88837,170148
c07,屏東縣,崁頂鄉,4496,1231,5727,563,6290,12270
c07,屏東縣,恆春鎮,8909,2055,10964,842,11806,25661
c07,屏東縣,新園鄉,10874,3150,14024,1928,15952,30706
c07,屏東縣,新埤鄉,3096,909,4005,465,4470,9033
c07,屏東縣,春日鄉,767,215,982,56,1038,3923
c07,屏東縣,東港鎮,14549,3955,18504,2301,20805,39495
c07,屏東縣,枋寮鄉,7667,2168,9835,1370,11205,21394
c07,屏東縣,枋山鄉,1689,484,2173,236,2409,4856
c07,屏東縣,林邊鄉,5897,1721,7618,991,8609,15691
c07,屏東縣,泰武鄉,1895,515,2410,287,2697,4344
c07,屏東縣,滿州鄉,2211,556,2767,240,3007,7206
c07,屏東縣,潮州鎮,17240,4550,21790,1878,23668,46444
c07,屏東縣,牡丹鄉,1348,280,1628,104,1732,4314
c07,屏東縣,獅子鄉,1409,287,1696,129,1825,4230
c07,屏東縣,琉球鄉,3306,726,4032,551,4583,10706
c07,屏東縣,瑪家鄉,2394,657,3051,223,3274,5663
c07,屏東縣,竹田鄉,6113,1793,7906,867,8773,15353
c07,屏東縣,萬丹鄉,15892,4655,20547,2197,22744,43478
c07,屏東縣,萬巒鄉,6002,1899,7901,986,8887,17945
c07,屏東縣,車城鄉,2167,580,2747,279,3026,7595
c07,屏東縣,里港鄉,8226,2453,10679,1363,12042,22128
c07,屏東縣,長治鄉,9969,2844,12813,1489,14302,26256
c07,屏東縣,霧臺鄉,1151,301,1452,109,1561,2950
c07,屏東縣,高樹鄉,6898,2226,9124,1225,10349,21697
c07,屏東縣,鹽埔鄉,8036,2168,10204,1173,11377,22402
c07,屏東縣,麟洛鄉,4077,1077,5154,408,5562,9970
c07,彰化縣,,452334,111030,563364,45223,608587,1066994
c07,彰化縣,二林鎮,16535,3868,20403,1952,22355,42976
c07,彰化縣,二水鄉,5683,1607,7290,694,7984,13339
c07,彰化縣,伸港鄉,13300,2650,15950,1254,17204,30407
c07,彰化縣,北斗鎮,11915,2859,14774,1294,16068,27593
c07,彰化縣,和美鎮,32445,7579,40024,2554,42578,75286
c07,彰化縣,員林市,43129,10985,54114,3431,57545,102028
c07,彰化縣,埔心鄉,13153,3544,16697,1503,18200,29642
c07,彰化縣,埔鹽鄉,12676,2865,15541,1323,16864,28026
c07,彰化縣,埤頭鄉,9819,2728,12547,1343,13890,25677
c07,彰化縣,大城鄉,4053,953,5006,598,5604,14713
c07,彰化縣,大村鄉,13893,3300,17193,1265,18458,31492
c07,彰化縣,彰化市,85910,21752,107662,7322,114984,190995
c07,彰化縣,永靖鄉,13632,3376,17008,1436,18444,31239
c07,彰化縣,溪州鄉,9269,2429,11698,1177,12875,25405
c07,彰化縣,溪湖鎮,19566,4696,24262,1832,26094,45147
c07,彰化縣,田中鎮,14996,3604,18600,1687,20287,35391
c07,彰化縣,田尾鄉,10126,2487,12613,1014,13627,23179
c07,彰化縣,社頭鄉,15452,3889,19341,1416,20757,36306
c07,彰化縣,福興鄉,15627,3996,19623,1927,21550,39745
